Rating,Rating Since,Asset Class,Sub-Asset Class,Region,Industry Group,Issuer / Asset,Security / Details,ISIN,CIO View,Valor,MIC,Yahoo Ticker,As Of
HOLD,2026-02-15 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,Colgate-Palmolive Co.,Registered Shares,US1941621039,Stable market position; no incremental allocation recommended,919477,XNYS,CL,2026-05-12 00:00:00
HOLD,2026-03-06 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,Costco Wholesale Corp.,Registered Shares,US22160K1051,Balanced risk/reward at the current valuation,903618,XNAS,COST,2026-05-12 00:00:00
HOLD,2025-08-06 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Staples,L'Oréal S.A.,Registered Shares,FR0000120321,Stable market position; no incremental allocation recommended,502805,XPAR,OR.PA,2026-05-12 00:00:00
HOLD,2025-11-14 00:00:00,Equities,Foreign (Dev. Markets),Global,Consumer Staples,Nestlé S.A. (ADR),Sponsored ADR,US6410694060,Sound balance sheet; catalysts further out,213743,OTCM,NSRGY,2026-05-12 00:00:00
HOLD,2025-09-16 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,PepsiCo Inc.,Registered Shares,US7134481081,Balanced risk/reward at the current valuation,961618,XNAS,PEP,2026-05-12 00:00:00
HOLD,2025-10-09 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,The Coca-Cola Co.,Registered Shares,US1912161007,Earnings quality intact; awaiting a better entry point,919390,XNYS,KO,2026-05-12 00:00:00
HOLD,2025-10-15 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,"Tyson Foods, Inc.",Registered Shares,US9024941034,Commodity-cost exposure balanced by scale; maintain,979428,XNYS,TSN,2026-05-12 00:00:00
HOLD,2025-07-28 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,Walmart Inc.,Registered Shares,US9311421039,Sound balance sheet; catalysts further out,984101,XNAS,WMT,2026-05-12 00:00:00
HOLD,2025-12-29 00:00:00,Equities,Foreign (Dev. Markets),Global,Diversified ETF,Vanguard S&P 500 UCITS ETF,UCITS ETF (Dist),IE00B3XXRP09,"Core US-equity building block, not a tactical recommendation",18575508,XLON,VUSA.L,2026-05-12 00:00:00
HOLD,2026-02-05 00:00:00,Equities,Foreign (Dev. Markets),Global,Diversified ETF,iShares Core MSCI World UCITS ETF,UCITS ETF (Acc),IE00B4L5Y983,"Core developed-market building block, not a tactical recommendation",10608388,XETR,EUNL.DE,2026-05-12 00:00:00
BUY,2025-07-30 00:00:00,Equities,Foreign (Dev. Markets),Europa,Energy,Shell plc,Ordinary Shares,GB00BP6MXD84,Energy-transition optionality with cash-flow discipline,115606002,XLON,SHEL.L,2026-05-12 00:00:00
BUY,2025-12-12 00:00:00,Equities,Foreign (Dev. Markets),Europa,Energy,TotalEnergies SE,Ordinary Shares,FR0000120271,Integrated energy with renewables build-out,524773,XPAR,TTE.PA,2026-05-12 00:00:00
SELL,2026-05-09 00:00:00,Equities,Foreign (Dev. Markets),USA,Energy,Exxon Mobil Corp.,Registered Shares,US30231G1022,Downgraded — least-preferred integrated energy name; capital-allocation concerns vs. European peers. Replace within Energy.,808963,XNYS,XOM,2026-05-12 00:00:00
BUY,2025-11-24 00:00:00,Equities,Foreign (Dev. Markets),Europa,Financials,AXA S.A.,Ordinary Shares,FR0000120628,European insurance value; capital-return discipline,486352,XPAR,CS.PA,2026-05-12 00:00:00
BUY,2025-09-20 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,Chubb Limited,Registered Shares,CH0044328745,Best-in-class P&C underwriting discipline,4432874,XNYS,CB,2026-05-12 00:00:00
BUY,2025-09-22 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,JPMorgan Chase & Co.,Registered Shares,US46625H1005,Fortress balance sheet; best-in-class returns through cycles,1161460,XNYS,JPM,2026-05-12 00:00:00
BUY,2025-09-06 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,Visa Inc.,Registered Shares Class A,US92826C8394,Secular cash-to-card tailwind; pristine unit economics,3826452,XNYS,V,2026-05-12 00:00:00
HOLD,2026-03-02 00:00:00,Equities,Foreign (Dev. Markets),Europa,Financials,Allianz SE,Vink.Namens-Aktien,DE0008404005,Fairly valued at current levels; maintain existing exposure,322646,XETR,ALV.DE,2026-05-12 00:00:00
HOLD,2025-09-10 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,Bank of America Corp.,Registered Shares,US0605051046,Conservative guidance; hold through the cycle,748628,XNYS,BAC,2026-05-12 00:00:00
HOLD,2025-08-22 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,Berkshire Hathaway,Registered Shares Cl. B,US0846701086,Sound balance sheet; catalysts further out,912499,XNYS,BRK-B,2026-05-12 00:00:00
HOLD,2025-08-23 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,Mastercard Inc.,Registered Shares Cl. A,US57636Q1040,Long-term thesis intact; range-bound near term,2282206,XNYS,MA,2026-05-12 00:00:00
HOLD,2025-11-13 00:00:00,Equities,Foreign (Dev. Markets),Europa,Financials,Muenchener Rueckvers.,Registered Shares,DE0008430026,Solid franchise; limited near-term catalysts,341960,XETR,MUV2.DE,2026-05-12 00:00:00
HOLD,2025-07-24 00:00:00,Equities,Foreign (Dev. Markets),USA,Financials,S&P Global Inc.,Registered Shares,US78409V1044,Competitive position stable; monitoring margin trajectory,32303352,XNYS,SPGI,2026-05-12 00:00:00
BUY,2025-08-21 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,AbbVie Inc.,Registered Shares,US00287Y1091,Immunology franchise resilience; strong dividend cover,20145667,XNYS,ABBV,2026-05-12 00:00:00
BUY,2025-08-01 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Amgen Inc.,Registered Shares,US0311621009,Biologics manufacturing scale; reliable cash returns,907582,XNAS,AMGN,2026-05-12 00:00:00
BUY,2026-03-10 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Eli Lilly & Co.,Registered Shares,US5324571083,Metabolic-medicine leadership; unmatched commercial execution,947556,XNYS,LLY,2026-05-12 00:00:00
BUY,2026-02-16 00:00:00,Equities,Foreign (Dev. Markets),Europa,Health Care,GSK plc,Ordinary Shares,GB00BN7SWP63,Preferred European pharma; vaccines and specialty-medicine momentum,119642297,XLON,GSK.L,2026-05-12 00:00:00
BUY,2025-11-05 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Gilead Sciences Inc.,Registered Shares,US3755581036,Stable antiviral franchise with oncology optionality,935700,XNAS,GILD,2026-05-12 00:00:00
BUY,2025-12-19 00:00:00,Equities,Foreign (Dev. Markets),Europa,Health Care,Novo Nordisk A/S,Navne-Aktier B,DK0062498333,GLP-1 category creator; manufacturing capacity scaling,129508879,XCSE,NOVO-B.CO,2026-05-12 00:00:00
BUY,2025-09-25 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Pfizer Inc.,Registered Shares,US7170811035,Valuation re-entry point; diversified pharma exposure,962004,XNYS,PFE,2026-05-12 00:00:00
BUY,2025-12-09 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Vertex Pharmaceuticals,Registered Shares,US92532F1003,Durable specialty-pharma franchise with high barriers to entry,983327,XNAS,VRTX,2026-05-12 00:00:00
HOLD,2025-08-06 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Abbott Laboratories,Registered Shares,US0028241000,Market share steady; sector headwinds already priced,903037,XNYS,ABT,2026-05-12 00:00:00
HOLD,2025-09-10 00:00:00,Equities,Foreign (Dev. Markets),Europa,Health Care,AstraZeneca PLC,Registered Shares,GB0009895292,Defensive characteristics intact; hold existing position,982352,XLON,AZN.L,2026-05-12 00:00:00
HOLD,2025-11-24 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Biogen Inc.,Registered Shares,US09062X1037,Fairly valued within diversified healthcare exposure; maintain,1720684,XNAS,BIIB,2026-05-12 00:00:00
HOLD,2025-11-24 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Johnson & Johnson,Registered Shares,US4781601046,Operating momentum steady; keep the position,943981,XNYS,JNJ,2026-05-12 00:00:00
HOLD,2026-01-21 00:00:00,Equities,Foreign (Dev. Markets),USA,Health Care,Medtronic PLC,Registered Shares,IE00BTN1Y115,Execution on track; upside largely priced in,25187155,XNYS,MDT,2026-05-12 00:00:00
HOLD,2025-12-17 00:00:00,Equities,Foreign (Dev. Markets),Europa,Health Care,Sanofi S.A.,Registered Shares,FR0000120578,Balanced risk/reward at the current valuation,699381,XPAR,SAN.PA,2026-05-12 00:00:00
BUY,2026-01-03 00:00:00,Equities,Foreign (Dev. Markets),Europa,Industrials,Atlas Copco AB (A),Class A Shares,SE0017486889,Compressors and vacuum technology; automation capex beneficiary,118641470,XSTO,ATCO-A.ST,2026-05-12 00:00:00
BUY,2025-11-08 00:00:00,Equities,Foreign (Dev. Markets),Europa,Industrials,Kone Oyj,Class B Shares,FI0009013403,European automation leader; service-revenue resilience,2028477,XHEL,KNEBV.HE,2026-05-12 00:00:00
BUY,2025-09-15 00:00:00,Equities,Foreign (Dev. Markets),Europa,Industrials,Legrand S.A.,Ordinary Shares,FR0010307819,Electrification and building-automation exposure,2501522,XPAR,LR.PA,2026-05-12 00:00:00
BUY,2025-08-14 00:00:00,Equities,Foreign (Dev. Markets),Europa,Industrials,Sandvik AB,Ordinary Shares,SE0000667891,Mining and engineering automation; robust order book,1081665,XSTO,SAND.ST,2026-05-12 00:00:00
BUY,2025-11-07 00:00:00,Equities,Foreign (Dev. Markets),Europa,Industrials,Schneider Electric SE,Actions Port.,FR0000121972,Grid modernisation and datacentre power exposure,509120,XPAR,SU.PA,2026-05-12 00:00:00
BUY,2025-08-16 00:00:00,Equities,Foreign (Dev. Markets),Europa,Industrials,Siemens AG,Namens-Aktien,DE0007236101,Industrial software and electrification order book,827766,XETR,SIE.DE,2026-05-12 00:00:00
BUY,2026-03-05 00:00:00,Equities,Foreign (Dev. Markets),Europa,Information Technology,ASML Holding N.V.,Registered Shares,NL0010273215,Lithography monopoly at the heart of the node race,19531091,XAMS,ASML.AS,2026-05-12 00:00:00
BUY,2025-10-17 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Accenture plc,Class A Shares,IE00B4BNMY34,IT-services bellwether; GenAI bookings growth,10478724,XNYS,ACN,2026-05-12 00:00:00
BUY,2026-02-01 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Apple Inc.,Registered Shares,US0378331005,Ecosystem lock-in with rising services margin mix,908440,XNAS,AAPL,2026-05-12 00:00:00
BUY,2026-01-17 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Microsoft Corp.,Registered Shares,US5949181045,Cloud and AI monetisation across the enterprise stack,951692,XNAS,MSFT,2026-05-12 00:00:00
BUY,2026-03-13 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,NVIDIA Corp.,Registered Shares,US67066G1040,Accelerated-computing standard setter; datacentre demand visibility,994529,XNAS,NVDA,2026-05-12 00:00:00
BUY,2025-10-27 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Texas Instruments Inc.,Registered Shares,US8825081040,Analog-semiconductor quality compounder; industrial exposure,976910,XNAS,TXN,2026-05-12 00:00:00
HOLD,2025-12-28 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Adobe Inc.,Registered Shares,US00724F1012,Quality compounder; above our entry discipline,903472,XNAS,ADBE,2026-05-12 00:00:00
HOLD,2026-01-06 00:00:00,Equities,Foreign (Dev. Markets),Europa,Information Technology,Adyen N.V.,Registered Shares,NL0012969182,Dividend maintained; modest growth outlook,42119868,XAMS,ADYEN.AS,2026-05-12 00:00:00
HOLD,2026-02-04 00:00:00,Equities,Foreign (Dev. Markets),Global,Information Technology,Applied Materials Inc.,Registered Shares,US0382221051,Operating momentum steady; keep the position,908542,XNAS,AMAT,2026-05-12 00:00:00
HOLD,2025-12-05 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Arista Networks Inc.,Registered Shares,US0404131064,Long-term thesis intact; range-bound near term,24122208,,ANET,2026-05-12 00:00:00
HOLD,2025-08-01 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Broadcom Inc.,Registered Shares,US11135F1012,Solid franchise; limited near-term catalysts,41112361,XNAS,AVGO,2026-05-12 00:00:00
HOLD,2025-11-27 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,CrowdStrike Holdings,Registered Shares Cl. A,US22788C1053,Defensive characteristics intact; hold existing position,47976949,XNAS,CRWD,2026-05-12 00:00:00
HOLD,2026-01-01 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Datadog Inc.,Registered Shares Cl. A,US23804L1035,Execution on track; upside largely priced in,49718937,XNAS,DDOG,2026-05-12 00:00:00
HOLD,2025-12-03 00:00:00,Equities,Foreign (Dev. Markets),Global,Information Technology,Entegris Inc.,Registered Shares,US29362U1043,Strong cash generation; valuation looks full,1102899,XNAS,ENTG,2026-05-12 00:00:00
HOLD,2026-01-21 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Intuit Inc.,Registered Shares,US4612021034,Quality compounder; above our entry discipline,60141,XNAS,INTU,2026-05-12 00:00:00
HOLD,2025-10-16 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Palantir Technologies,Registered Shares Cl. A,US69608A1088,Earnings quality intact; awaiting a better entry point,36244719,XNAS,PLTR,2026-05-12 00:00:00
HOLD,2026-03-02 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Palo Alto Networks Inc,Registered Shares,US6974351057,Stable market position; no incremental allocation recommended,18379378,XNAS,PANW,2026-05-12 00:00:00
HOLD,2026-01-18 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Qualcomm Inc.,Registered Shares,US7475251036,Execution on track; upside largely priced in,964930,XNAS,QCOM,2026-05-12 00:00:00
HOLD,2025-08-25 00:00:00,Equities,Foreign (Dev. Markets),Europa,Information Technology,SAP SE,Inhaber-Aktien,DE0007164600,Sound balance sheet; catalysts further out,345952,XETR,SAP.DE,2026-05-12 00:00:00
HOLD,2025-11-12 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Salesforce Inc.,Registered Shares,US79466L3024,Dividend maintained; modest growth outlook,1755645,XNYS,CRM,2026-05-12 00:00:00
HOLD,2025-08-25 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,ServiceNow Inc.,Registered Shares,US81762P1021,Quality compounder; above our entry discipline,18868154,XNYS,NOW,2026-05-12 00:00:00
HOLD,2026-01-26 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Snowflake Inc.,Registered Shares Cl. A,US8334451098,Operating momentum steady; keep the position,56799254,XNYS,SNOW,2026-05-12 00:00:00
HOLD,2026-01-26 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Uber Technologies Inc.,Registered Shares,US90353T1007,Conservative guidance; hold through the cycle,47459333,XNYS,UBER,2026-05-12 00:00:00
SELL,2026-05-12 00:00:00,Equities,Foreign (Dev. Markets),USA,Information Technology,Intel Corp.,Registered Shares,US4581401001,Downgraded — structural competitive headwinds in foundry economics and AI roadmap. Replace within Information Technology.,941595,XNAS,INTC,2026-05-12 00:00:00
BUY,2026-02-10 00:00:00,Equities,Foreign (Dev. Markets),Europa,Materials,Air Liquide S.A.,Ordinary Shares,FR0000120073,Industrial-gases oligopoly; hydrogen optionality,502455,XPAR,AI.PA,2026-05-12 00:00:00
BUY,2025-10-16 00:00:00,Equities,Foreign (Dev. Markets),Global,Materials,Linde PLC,Registered Shares,IE000S9YS762,Industrial-gas pricing discipline; hydrogen optionality,124625792,XNAS,LIN,2026-05-12 00:00:00
